Year,Beer
1961,4.44
1962,4.5
1963,5.27
1964,5.42
1965,5.41
1966,5.53
1967,5.72
1968,5.89
1969,6.03
1970,6.13
1971,6.15
1972,6.3
1973,6.87
1974,7
1975,6.83
1976,6.83
1977,6.85
1978,6.64
1979,6.71
1980,6.59
1981,6.59
1982,6.24
1983,6.03
1984,5.85
1985,5.91
1986,5.66
1987,5.77
1988,5.9
1989,5.82
1990,5.52
1991,5.2
1992,4.97
1993,4.29
1994,4.28
1995,4.23
1996,4.18
1997,4.12
1998,4.06
1999,4
2000,4.01
2001,3.24
2002,3.96
2003,3.96
2004,3.65
2005,3.69
2006,3.7
2007,3.68
2008,3.7
2009,3.68
2010,3.63
2011,3.46
2012,3.33
2013,3.26
2014,3.26
