Year,Beer,Country
1961,3.75,Ireland
1962,3.82,Ireland
1963,3.87,Ireland
1964,4.02,Ireland
1965,3.97,Ireland
1966,4.11,Ireland
1967,4.15,Ireland
1968,4.55,Ireland
1969,4.71,Ireland
1970,5.06,Ireland
1971,5.44,Ireland
1972,5.78,Ireland
1973,6.32,Ireland
1974,6.51,Ireland
1975,6.45,Ireland
1976,6.15,Ireland
1977,6.00,Ireland
1978,6.09,Ireland
1979,6.17,Ireland
1980,6.11,Ireland
1981,5.85,Ireland
1982,5.77,Ireland
1983,5.39,Ireland
1984,5.40,Ireland
1985,5.41,Ireland
1986,5.32,Ireland
1987,5.30,Ireland
1988,5.47,Ireland
1989,5.80,Ireland
1990,6.10,Ireland
1991,6.20,Ireland
1992,6.58,Ireland
1993,6.35,Ireland
1994,6.78,Ireland
1995,6.94,Ireland
1996,7.28,Ireland
1997,7.68,Ireland
1998,7.71,Ireland
1999,7.77,Ireland
2000,6.30,Ireland
2001,6.23,Ireland
2002,6.09,Ireland
2003,5.82,Ireland
2004,5.66,Ireland
2005,5.58,Ireland
2006,5.48,Ireland
2007,5.37,Ireland
2008,5.02,Ireland
2009,4.64,Ireland
2010,4.54,Ireland
2011,4.34,Ireland
2012,4.23,Ireland
2013,3.92,Ireland
2014,4.02,Ireland
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
