Year,Beer,Country
1961,0.7,Japan
1962,0.71,Japan
1963,0.82,Japan
1964,0.93,Japan
1965,0.91,Japan
1966,0.98,Japan
1967,1.12,Japan
1968,1.1,Japan
1969,1.23,Japan
1970,1.31,Japan
1971,1.33,Japan
1972,1.47,Japan
1973,1.59,Japan
1974,1.48,Japan
1975,1.57,Japan
1976,1.48,Japan
1977,1.7,Japan
1978,1.73,Japan
1979,1.82,Japan
1980,1.76,Japan
1981,1.82,Japan
1982,1.88,Japan
1983,1.91,Japan
1984,1.81,Japan
1985,1.83,Japan
1986,1.95,Japan
1987,2.1,Japan
1988,2.28,Japan
1989,2.36,Japan
1990,2.45,Japan
1991,2.7,Japan
1992,2.73,Japan
1993,2.75,Japan
1994,2.97,Japan
1995,2.71,Japan
1996,2.73,Japan
1997,2.65,Japan
1998,2.44,Japan
1999,2.3,Japan
2000,2.13,Japan
2001,1.89,Japan
2002,1.69,Japan
2003,1.56,Japan
2004,1.51,Japan
2005,1.48,Japan
2006,1.44,Japan
2007,1.41,Japan
2008,1.28,Japan
2009,1.2,Japan
2010,1.15,Japan
2011,1.21,Japan
2012,1.19,Japan
2013,1.21,Japan
2014,1.21,Japan
