Year,Beer,Country
1961,2.54,USA
1962,2.59,USA
1963,2.65,USA
1964,2.74,USA
1965,2.75,USA
1966,2.81,USA
1967,2.86,USA
1968,2.93,USA
1969,3.02,USA
1970,3.09,USA
1971,3.15,USA
1972,3.24,USA
1973,3.34,USA
1974,3.51,USA
1975,3.57,USA
1976,3.63,USA
1977,3.7,USA
1978,3.84,USA
1979,3.99,USA
1980,4.03,USA
1981,4.08,USA
1982,4.07,USA
1983,4.05,USA
1984,4.08,USA
1985,3.94,USA
1986,3.97,USA
1987,3.97,USA
1988,3.94,USA
1989,3.89,USA
1990,3.97,USA
1991,3.82,USA
1992,3.82,USA
1993,3.73,USA
1994,3.7,USA
1995,3.65,USA
1996,3.65,USA
1997,3.62,USA
1998,3.63,USA
1999,3.66,USA
2000,3.64,USA
2001,3.68,USA
2002,3.68,USA
2003,3.63,USA
2004,3.63,USA
2005,3.58,USA
2006,3.62,USA
2007,3.62,USA
2008,3.63,USA
2009,3.55,USA
2010,3.46,USA
2011,3.41,USA
2012,3.45,USA
2013,3.43,USA
2014,3.37,USA
